toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_tranmid
"1404.02",352239069,"PC",14.4318870,1687.0000000,2459908.5229610
"1405.01",387834907,"FP",12.6400100,9458.3800000,2458739.8801100
"1406.01",231736113,"CP",10.5739824,5460.0000000,2459218.2314020
"1408.01",364186197,"CP",4.4247042,2447.0000000,2460661.1816740
"1409.01",115771549,"APC",4.7182888,3000.0000000,2459844.1250390
"1410.01",199444169,"CP",1.2168732,1240.0000000,2459850.7370580
"1411.01",116483514,"CP",1.4520486,393.0000000,2460447.0853670
"1412.01",116483734,"APC",4.7319770,3470.0000000,2459714.0755110
"1413.01",119700084,"PC",6.1182129,1805.1895773,2459829.6989760
"1414.01",125442121,"APC",3.0197807,12016.7483851,2459853.5836820
"1415.01",148782377,"PC",14.4204896,1061.4991496,2458745.7101320
"1416.01",158025009,"CP",1.0697621,376.0000000,2460423.2634350
"1417.01",164173105,"CP",3.0726434,10471.4949697,2459827.0017000
"1418.01",224600500,"FA",0.6763235,30.1617977,2458684.2779660
"1419.01",311035838,"KP",2.8997405,13760.0000000,2459661.5681000
"1420.01",321857016,"CP",6.9561134,15989.2311010,2459830.4581920
"1421.01",329277372,"FP",2.8879675,23489.3314084,2459854.5099430
"1422.01",333473672,"CP",13.0017890,1339.5837664,2459864.0637590
"1423.01",346418409,"FP",2.7556532,2854.4589288,2458740.9618180
"1424.01",418959198,"FP",4.8962484,1186.0289925,2459827.5040990
"1425.01",350132371,"APC",1.0318213,5577.0000000,2460448.8627800
"1426.01",128501004,"FP",0.7899900,5750.0000000,2458739.0012000
"1427.01",2041563029,"FP",12.8075800,27112.7000000,2458747.0097100
"1428.01",377304435,"FP",11.3562600,2190.0000000,2458691.5606100
"1430.01",293954617,"CP",7.4341456,701.0000000,2460549.3111090
"1432.01",256783784,"PC",6.1095756,510.0000000,2459851.6908170
"1433.01",13684720,"APC",12.4379715,123693.2601599,2458695.0112330
"1434.01",138588540,"PC",29.8718530,712.5668187,2458703.4083270
"1435.01",153976959,"PC",0.6858178,148.2277582,2458683.4315240
"1436.01",154383539,"PC",0.8675883,321.4840933,2459690.5658130
"1437.01",198356533,"CP",18.8408910,331.0000000,2460660.1833680
"1438.01",229650439,"CP",5.1396666,769.5996824,2460641.8398470
"1438.02",229650439,"CP",9.4280902,799.0000000,2460632.1017350
"1439.01",232982558,"CP",27.6438617,560.0000000,2460638.5455610
"1440.01",233617847,"PC",15.5174519,434.0000000,2459956.4010350
